	r_id	rest_id	rest_name
0	0	b-mOsKIonnlHllP9gfbXdgnQ	Silver Spoon
1	1	b-nbf4o8gUP2y9JKFE2wBO2A	Silver Spoon
2	2	b-UaMq3DUhtkoZ5WCEQm2T9g	Silver Spoon
3	3	b-P4h8kgy_48oE9vCHJc4BCQ	Silver Spoon
4	4	b-LZWXP-D4YPlzsFjVx6b9XA	Spice South
5	5	b-CvOxwAhmwwy3sQRKYVAjGg	Bombay Buffet Indian Cuisine
6	6	b-ZDx7kt4aOPTlmYTqXDrTGA	Canbe Foods
7	7	b-p-J9iJgeHmPGk2jFAM0WnA	Red Chillez
8	8	b-RE4qn28MEiDrM1PbdYVgxA	Lena's Roti & Doubles
9	9	b-_PKXarw3GjlbwbXhjdpUMA	Tangra Villa Hakka Chinese Cuisine
10	10	b-scM6rLQqoz5dEIgwz_JFsg	Haveli Restaurant
11	11	b-eRZuxjnaMviiVyvhejwTBQ	Afghan Cuisine
12	12	b-CB99Ifh4OnBTnuNdRjj_fQ	Soma Grill
13	13	b-Eu-M3y8a5bIxIRXlCj9yHA	Watan Kabob
14	14	b-Dh2Z3WNu6M71LbMNHEeg3w	Hakka Town
15	15	b-TTCZkfxt0GW8YUzdVe0PrA	Hyderabad House Arizona
16	16	b-or1daHtUK9b7sqFRPf62GQ	Supreme Dosa
17	17	b-vZu3xxlMQSqFngDgdFLfXg	Tamarind - The Indian Kitchen
18	18	b-5eDg_Y2N6aU_k7tIxoFXTg	Armaan Taste of India
19	19	b-3wJ4kJsJhayyfJ30HsS04g	Matka Indian Cuisine
20	20	b-qhKNZTtTT6GLnPzQny-v9Q	Nirala Sweets & Restaurant
21	21	b-k9PfKE7KfztoMpOSx25UpA	SpiceBros
22	22	b-3frFidAcPVYAFB2RxxkIdA	Star of India
23	23	b-7xA6iSP0Ndn08tpBFQtUKA	Aroma Fine Indian Cuisine
24	24	b-mOsKIonnlHllP9gfbXdgnQ	Silver Spoon
25	24	b-mOsKIonnlHllP9gfbXdgnQ	Silver Spoon
26	25	b-COfzp0tze_F8N13zn40zzg	Bombay Mahal Thali
27	26	b-DxbdfvNYPCyiLJDDPJK3Tg	Hakka Bro's
28	27	b-MMOEaEcq-bsg_RYWHSC4_g	Little Spice
29	28	b-h-psPOmlY0mCOflb3S3rdQ	Chennai Chettinaad Palace
30	29	b-V_jIfMz9Z7a5mthleRq0_w	Nirvana II
31	30	b-kG0N5urz2lkPEBDPjqFR3w	Maharani Indian Cuisine
32	31	b-LwXo16VrGPhhOWc_Wj7ifw	OM Restaurant
33	32	b-35KvoWbA3kEsdckaWqG3OA	Masala House Indian Bistro
34	33	b-XvuUYiJYAAiNC4AmdbBZ8g	Tandoori Grill
35	34	b-qMw7mFHAjgG7qN82aXmeZg	Tandoori Style Restaurant
36	35	b-0cf-w9PK5gLkBkitL3bdqw	India Garden
37	36	b-Dd1w7xR7Xs3bthwusgy33Q	Lotus Deli
38	37	b-kfwpXBsMQLqhUvscWB6b9g	Indian Taste Restaurant
39	38	b-5VOqWjRXUPc7b1A_NSI9mQ	Spicy Garden
40	39	b-hubbaEcYPYEZu5Ziz6i0lw	Mantra Masala
41	40	b-MgsOZpYSntKSCzNROiWgYQ	Bombay Palace
42	41	b-De8Z9rLZOmf-icp3gDxCZA	Anjappar Chettinad Restaurant
43	42	b-0zTLMQOZhiCp9GFtegiFsw	Kohinoor Cuisine of India
44	43	b-SxuD7iY8QO88PNbSdNmNKg	Thulasi Kitchen
45	44	b-DJuQgsoj-qmU0i5iTAa4aA	Tadka Restaurant
46	45	b-vCx6uieEF0W0mKFK4sT3Yg	Waterfalls Indian Tapas Bar & Grill
47	46	b-UAXz2KC1aXpxzV-MLdXbmQ	Delhi Bistro
48	47	b-Pzs43Fkub-6A9hA1zqpF_w	Maharaja Restaurant
49	48	b-bO_JX-lDo5D5JGZhK5Ly3A	Cafe Krishna
50	49	b-gw0ZS5b5RP3Lzr1BoCbALg	Charkha Exotic Indian Cuisine
51	50	b-idrN6XWKErG6nKDsEMNbOQ	Airport Bukhara
52	51	b-qcqDjeirxvdgW5kQVkEwSA	The Red Room
53	52	b-ICUCAzUZFiWkYs7iCtNCQg	Copper Modern Indian Cuisine
54	53	b-xSuR0FK8cHzBLXowCV3Pyw	Brar Sweets Restaurant
55	54	b-8PZGCtgG5MZKvz9i3B9gCA	Eastern Twist
56	55	b-BxkVct02QHybp54ATZgkUQ	Jaipur Grille
57	56	b-sUGlSS0AF2xPYFEjvKJbSA	Tandoori House
58	57	b-XNL6PRXaQxyDO2yeBdy11w	Express Indien
59	58	b-h3_Jnt_y0VPaC5x5kCWY0w	Raja Foods
60	59	b-jb0-JZMt-6Khsh-VwsDtLQ	The Tasty Touch
61	60	b-Ksk5cLav4OtbUtpRGp5b4g	India's Cafe & Kitchen
62	61	b-gA4bnK91phT5FTzG4ki3Dw	Restaurant Devi
63	62	b-DKqhCd3Vwl3CEo8vUHhLYg	Bombay's Chutney
64	63	b-geMa0_CtMOctkUhf_JXK9Q	Maison de Cari Golden
65	64	b-xA6L2w_TlbxHubb1xeBE8w	Tamarind Savoring India
66	65	b-ZJ0gQp0fcnIDiZv0m9--Gg	Angara India Spice Grill
67	66	b-gXLiBVCHIqoPEw2CaP3QmQ	Pakwan Indian Bistro
68	67	b-tIXpNWE6R1yadAThbSefHw	Wanlee Loy
69	68	b-f6T2YaTfGoSyQV-l4jzrjw	Rajdhani Sweets & Restaurant
70	69	b-y4z0iQZWN4R2Fk8SiPQU5A	Urban Hakka
71	70	b-pU7L-CQpl4syUwfEGAlb8g	Where the River Narrows
72	71	b-ZNdV9ytExuxPTXSN8i2xhw	Needle and Pin
73	72	b-8grTRpmD9JYRPWayoLxg0w	Amaya Express
74	73	b-j4ytRzcmtU4cLMBrhY7jMA	Annalakshmi
75	74	b-oVuZtlCFg_zF090Nhtp0Ow	Choolaah Indian BBQ
76	75	b-P4zWgzYzy03D9LeDTpKuDg	Guru Lukshmi
77	76	b-f7RXwcus_-EOsR0q5ctVjw	Didar
78	77	b-NHDdAZJqS3cf_K6HYxoQ9w	Dev
79	78	b-Q8uwArm4h8bhsqxw84Gd8w	Charcoal Kebab House
80	79	b-0Hy2VE9tqTo4QbovMz3xrQ	Masala Kitchen
81	80	b-AZKhBlrI5vgTBm3j9WwnbA	Bao-Shin To Go
82	81	b-gsc1j3RZQdScBnULSwaV9A	Saffron Fine Indian Takeout
83	82	b-dg4EMyM1feTEWfLPSbunrg	Taj Indian Cuisine & Banquet Hall
84	83	b-W_9ophRRWO924hn1S-y2Hg	Minerva Indian Cuisine
85	84	b-rYziPPEILDXJ_F5uKR--YQ	Bollywood Bites
86	85	b-OZwMMnRncrp7_uC-N3vV1Q	Hyderabad House -  Madison
87	86	b-YywWkWX235ZurTWSLqNPog	Rajdhani Sweets
88	87	b-BoiAZQB9AHRvazM055GFOw	Paradise India
89	88	b-xYpAg60oZVbOtSYgrOKBgQ	India's Flame
90	89	b-TAnzFr9NixvCbvUdJMWL5Q	Paradise Biryani Pointe
91	90	b-7vgWonwfqRt9pxR1c00Ulw	Le Tandoor
92	91	b-j9YFHVQqxM_qKHIc4nck-A	Wong's Asian Cuisine
93	92	b-S4qUsi44l5D9BbUCkhwQEA	New India Gate
94	93	b-yy_FhzQCeLreV21OBccPAg	Shalimar Foods
95	94	b--p-CuUMzN0HQz9OCQ8SZOA	Usmania Grill
96	95	b-GC9Re0tKAnecMww3DB638g	Jalsa Ice Cream and Bakery
97	96	b-_X0M7EMx475KZSX9wAsmgg	Bikaner Sweets & Restaurant
98	97	b-DeI4KqEeWy0cTdh7Wy5_RA	Samosa Factory
99	98	b-oX6y1Jm1jYLoWifmIrtaSQ	Chatpatay
100	99	b-c4qE3ygdEQUD9dZjganavA	Royal Ganesha
