id,rest_id,name,postal_code,city,state,country,rating,category,menus,aspects
0,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,Indian,Chicken Biryani|beef|Naan|Lollypop Chicken|biryani|chicken pieces|rice|Sindhi Biryani|chana masala|Samosa|Sauce|chicken|Shami Kebab,Food|Staff|Take_Out
1,b-nbf4o8gUP2y9JKFE2wBO2A,Silver Spoon,L6W 2B8,Brampton,ON,Canada,2.5,Indian,dinner|butter chicken|sauce|Naan|Biryani|biryani|naan|nihari,Food|Staff|Service|Customer_Service
2,b-UaMq3DUhtkoZ5WCEQm2T9g,Silver Spoon,M1R 2S8,Toronto,ON,Canada,3.0,Indian|Pakistani,butter chicken|Naan|yogurt|chicken qourma|curry|Biryani|goat biryani|chicken biryani|biryani|raita|naan|Butter Chicken,Staff|Service|Customer_Service|Food|Decor|Taste|Price
3,b-P4h8kgy_48oE9vCHJc4BCQ,Silver Spoon,L5V 0A6,Mississauga,ON,Canada,2.5,Indian|Pakistani|Asian Fusion,Channa Masala|Naan|cake|lollipop chicken|chicken biryani|biryani|roll|Butter chicken|seekh kebab Masala|bread|Chicken|curry|Biryani|fish|chicken|Curry Dish|Palak Paneer|Achari Chicken|Haleem|chicken malai boti|Chicken Dish|naan|dinner|Chicken pieces|lamb|karahi chicken|Beef Samosa,Staff|Service|Customer_Service|Food|Menu|Taste|Price|Parking
4,b-LZWXP-D4YPlzsFjVx6b9XA,Spice South,28277,Charlotte,NC,United States,3.5,Indian,Chicken Tikka Masala|dinner|Dosa|chutney|Naan|plain|Papadums|masala curry|Dal|sambar|Rice|chicken curry|Sambar|Biryani|chicken|Veg Biryani|naan|beers,Staff|Service|Food|Ambience|Menu|Taste|Price
5,b-CvOxwAhmwwy3sQRKYVAjGg,Bombay Buffet Indian Cuisine,M1H 2Y1,Scarborough,ON,Canada,2.5,Pakistani|Caterers|Indian|Event Planning & Services,butter chicken|Naan|plain|tandoori chicken|mushrooms|chicken biryani|paneer|parathas|Butter chicken|ice cream|chicken Pierre|chicken|Tandoori Chicken|naan|dinner|dessert|fruit|Naan Bread|chicken tikka|Coke|Paneer Makhani,Staff|Service|Music|Food|Ambience|Menu|Taste|Price|Food_Quality
6,b-ZDx7kt4aOPTlmYTqXDrTGA,Canbe Foods,L1Z 0L9,Ajax,ON,Canada,4.0,Indian|Sri Lankan,tomato rice|idllis|sambhar|Samosa|Masala Dosa,Food|Parking|Take_Out|Service
7,b-p-J9iJgeHmPGk2jFAM0WnA,Red Chillez,28277,Charlotte,NC,United States,4.0,Indian,mango|dinner|masala dosa|Dosa|dessert|sambar|butter masala|rice|Chana Bhatura|Rava Dosa|pudding|chana masala|cheese bread|chicken tikka masala|saag paneer,Food|Menu|Service|Taste
8,b-RE4qn28MEiDrM1PbdYVgxA,Lena's Roti & Doubles,L6S,Brampton,ON,Canada,4.0,Caribbean|Indian,pepper sauce|chutney|Roti|chicken roti|roti|dhalpourie roti|lamb|goat|Jamaica rotis|goat roti|doubles,Food|Staff|Service|Price
9,b-_PKXarw3GjlbwbXhjdpUMA,Tangra Villa Hakka Chinese Cuisine,L3P,Markham,ON,Canada,3.5,Indian|Chinese,tikka masala|Schezwan Chicken|Chili Chicken|Manchurian Chicken|seafood|chili dishes|chicken|Chicken Pakora|chilli chicken|soup|Sauce|tao chicken|veggie chow mein|noodles|chow mein|Chili chicken|rice|chili chicken|Noodles|pakora,Food|Staff|Service|Price
10,b-scM6rLQqoz5dEIgwz_JFsg,Haveli Restaurant,53719,Fitchburg,WI,United States,4.5,Indian,tikka masala|Lamb Masala|Naan|masala curries|Vindaloo|cheese|tandoori chicken|papadam|tandoori roti|Dal tadka|eggplant dish|Tandoori Mixed Grill|Tikka Masala|chai|rice pudding|mango|Chicken Tikka Masala|Chicken|Biryani|shahi korma|Tikka masala|Tikki masala|Gobi|chicken Tikka masala|korma|mango lassi|lassis|naan|coconut naan|goat curry|rice|shahi paneer,Staff|Service|Food|Taste|Price|Food_Quality
11,b-eRZuxjnaMviiVyvhejwTBQ,Afghan Cuisine,L4C 4M6,Richmond Hill,ON,Canada,3.0,Ethnic Food|Pakistani|Halal|Food|Afghan|Specialty Food,Lamb Shank|chicken breast|Naan|tandoori chicken|Lamb shank|chicken dinner|chicken wrap|sauce|yogurt|bread|chicken pieces|chicken|Chicken seekh wrap|beef karahi|beef tikkas|beef tika|tandoori chicken dinner|BEEF|tandoori|salad|Afghan Cuisine|naan|beef|skewer|lamb shank|rice|lamb|chicken kebab dinner|Meat Kebab|beef tikka wrap|vegetable stew|Kebab Karahi,Staff|Service|Food|Decor|Price|Taste|Parking|Food_Quality
12,b-CB99Ifh4OnBTnuNdRjj_fQ,Soma Grill,28105,Matthews,NC,United States,4.0,Food|Indian,tikka masala|Naan|chickpeas|papadums|Vegetable samosa|Samosa|goat|tikki masala|Red Curry Chicken|Chicken Tikka Masala|lentil soup|sauce|bread|curry|Soma Grill|fish|chicken|lamb vindaloo|Lentil soup|salad|soup|Salad|cream sauce|Vegetable Samosa|Sauce|naan|Madras|dal|dinner|Chutney|shrimp|vegetables|tomato sauce|Rice|Chicken Madras|goat curry|rice|chicken korma|chicken tikka masala,Staff|Service|Food|Menu|Decor|Price
13,b-Eu-M3y8a5bIxIRXlCj9yHA,Watan Kabob,L4Z 1X8,Mississauga,ON,Canada,4.0,Pakistani|Halal|Middle Eastern|Afghan,chicken breast|Naan|tandoori fish|Chicken Breast Kebab|Afghani bread|Wazieri kebab|Kebab|sauce|bread|Qabulee rice|Chicken Skewer|Firni|Fries|barg kebab|fish|chicken|salad|Chicken dish|Tandoori Chicken|Chapli Kebab|Sauce|Fish Tandoori|naan|dinner|fish tandoori|Tandoori|rice|Rice|garlic sauce,Staff|Service|Customer_Service|Food|Menu|Taste|Decor|Price|Food_Quality
14,b-Dh2Z3WNu6M71LbMNHEeg3w,Hakka Town,L6P 0W4,Brampton,ON,Canada,2.0,Food|Indian|Chinese,Honey garlic chicken|tiger prawns|shrimp|scheshwan chicken|chilli chicken|soup|chicken|Garlic chicken,Food|Service
15,b-TTCZkfxt0GW8YUzdVe0PrA,Hyderabad House Arizona,85248,Chandler,AZ,United States,3.5,Buffets|Indian|Vegetarian,plain|eggplant dish|Double Ka Meeta|RICE|Veg Dum Biryani|biryani|paneer|Cashew chicken|Biryani|Onion Pokuras|mutton|sweets|Gobi|Palak Paneer|Nutella dosa|Sauce|butter paneer|naan|dinner|Chutney|dessert|Corn Vepudu,Staff|Service|Food|Ambience|Menu|Decor|Taste|Price
16,b-or1daHtUK9b7sqFRPf62GQ,Supreme Dosa,T2B 0S8,Calgary,AB,Canada,4.5,Indian,Supreme Dosa|Dosa|Ginger tea|Coconut rice|chicken dosa|mango lassie|Samosa|mutton Koththu|chicken,Food|Service|Decor|Price
17,b-vZu3xxlMQSqFngDgdFLfXg,Tamarind - The Indian Kitchen,M5J 2S1,Toronto,ON,Canada,3.5,Fast Food|Vegetarian|Indian,Dhaal|butter chicken|dinner|Naan|bread|chicken tikka|vegetables|aloo jalfrezi|rice|paneer|fish|Samosa|chicken|salmon|naan,Food|Staff|Price
18,b-5eDg_Y2N6aU_k7tIxoFXTg,Armaan Taste of India,89183,Las Vegas,NV,United States,4.0,Pakistani|Asian Fusion|Pizza|Indian|Soul Food,chicken masala|channa masala|butter chicken|Naan|tandoori chicken|Makhani Daal|Matar Mushroom|Chicken Tikka Masala|sauce|bread|Lamb chops|Goat Roganjosh|chai tea|chicken|Chicken Saag|beer|wine|Pakora|mango lassi|chick peas|samasoas|naan|Chili chicken|Karahi chicken|garlic naan|dinner|Lamb|Papadi chaat|cauliflower|Chana masala|rice|chili chicken|Chicken Kourma|tiki masala|crispy|palak paneer,Staff|Service|Food|Ambience|Menu|Taste|Price
19,b-3wJ4kJsJhayyfJ30HsS04g,Matka Indian Cuisine,85224,Chandler,AZ,United States,3.0,Buffets|Indian,cauliflower dish|tikka masala|butter chicken|Naan|Paneer dish|tandoori chicken|goat biryani|chicken biryani|biryani|paneer|Papad|Gulab Jamoons|papadum|Tandoori Chicken|Pakora|okra|Chicken Dish|naan|veggie|dinner|Chutney|egg curry|tomato sauce|rice|Andhra Chicken,Service|Food|Menu|Decor|Price
20,b-qhKNZTtTT6GLnPzQny-v9Q,Nirala Sweets & Restaurant,M1X 1E6,Scarborough,ON,Canada,4.0,Indian|Pakistani|Halal,Fish|tea|paneer|chai|Chanay|Nihari|yogurt|halwa puri|paya|curry|nihari|Chicken Tikka|halwa|Paya|lassi|halwa poori|Mango lassi|Chana|Halwa Puri|naan|garlic naan|puri|Nihari gravy curry|rice|Veal Biryani,Staff|Service|Food|Taste|Price
21,b-k9PfKE7KfztoMpOSx25UpA,SpiceBros,H9B 1Z8,Dollard-des-Ormeaux,QC,Canada,4.0,Fast Food|Indian,butter chicken|Potatoe bowls|naan bread|Naan|tandoori chicken|Frankie rolls|Paneer wrap|Samosa|bro bowl|Chicken Platter|Delhi Kebab|sauce|bread|chicken|naan roll|tandoori|fries|channa samosa|pastry|chili sauce|mango lassi|Sauce|butter paneer|naan|vegetables|Naan Bread|rice|roti|sandwich|palak paneer,Staff|Food|Menu|Decor|Price
22,b-3frFidAcPVYAFB2RxxkIdA,Star of India,15213,Pittsburgh,PA,United States,3.5,Indian|Pakistani,garlic naan|dinner|curry lamb|chat|Creamy Sauce|mattar paneer|basmati rice|Samosa|soup|lamb curry|naan|rice pudding,Food|Menu|Service|Price
23,b-7xA6iSP0Ndn08tpBFQtUKA,Aroma Fine Indian Cuisine,M5V 1J5,Toronto,ON,Canada,3.5,Middle Eastern|Indian|Pakistani,chicken masala|saffron sauce|butter chicken|Naan|bengan bharta|chicken dinner|Checkin Baryani|biryani|paneer|tandoor paneer|saag paneer|Patty|lamb biryani|chapati|chutney|Paneer Masala|Saag Paneer|Gulab Jamun|chicken|chicken tikka masala|khums matar paneer|chicken madras|chicken pakora|Sauce|lamb curry|naan|garlic naan|Lamb Rogan Josh|rice|papdi chat|Lamb Chop Kandhari|lamb|Chicken Noorani Kebab|lamb roganjosh,Staff|Service|Food|Price|Parking
24,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,Indian,Chicken Biryani|beef|Naan|Lollypop Chicken|biryani|chicken pieces|rice|Sindhi Biryani|chana masala|Samosa|Sauce|chicken|Shami Kebab,Food|Staff|Take_Out
24,b-mOsKIonnlHllP9gfbXdgnQ,Silver Spoon,L1X 2B3,Pickering,ON,Canada,2.5,Indian,Chicken Biryani|beef|Naan|Lollypop Chicken|biryani|chicken pieces|rice|Sindhi Biryani|chana masala|Samosa|Sauce|chicken|Shami Kebab,Food|Staff|Take_Out
25,b-COfzp0tze_F8N13zn40zzg,Bombay Mahal Thali,H3H 1L8,Montréal,QC,Canada,3.5,Indian,tikka masala|Oignon Bhaji|butter chicken|lentils|Naan|papdi chaat|papadums|paneer curry|Samosa|vegetable|sauce|bread|chicken|Vegetarian Thali|wine|Shahi Panner|Roti|mango lassi|paratha|basmati rice|chick peas|soup|kheer|naan|garlic naan|Lamb Korma|curry lamb|vegetables|vegetable mix|roti|lamb,Staff|Service|Food|Price|Delivery
26,b-DxbdfvNYPCyiLJDDPJK3Tg,Hakka Bro's,M3J 3H6,North York,ON,Canada,4.0,Hakka|Caribbean|Halal|Chinese|Indian,Soup|vegetable pakora|Chili Chicken|Szechwan chicken|chicken noodles|shrimp pekoras|chicken|Munchurian Chicken Chowmein|fish pakora|Chicken Pakora|chilli chicken|soup|Chicken Dish|Sauce|chicken Manchurian|Crispy ginger beef|shrimp|Chilli chicken|Spicy Shrimp|Chilli Chicken|Fish Pakora|Chicken Protein|rice|chili chicken|machurian chicken|crispy|Hakka noodles,Staff|Service|Food|Menu|Decor|Price|Taste|Delivery|Parking
27,b-MMOEaEcq-bsg_RYWHSC4_g,Little Spice,T2J 0P6,Calgary,AB,Canada,4.5,Indian|Halal|Pakistani,tikka masala|butter chicken|naan bread|Naan|Naan bread|vegetable pakora|Vindaloo|chicken biryani|egg rice|biryani|Samosa|Lamb Qorma|bbq platter|Chicken Roll|lamb biryani|qorma|Kebab|Butter chicken|bread|beef quorma|Chicken|curry|chicken|lamb vindaloo|lassi|tamarind sauce|Pakora|mango lassi|roghan gosht|basmati rice|Sauce|Quarma|naan|Chicken Samosa|garlic naan|Chutney|Lamb|beef|chicken tikka|samosa|rice|Mix Vegetable Gravy|Saffron rice|lamb|chicken tikka masala|Beef Samosa,Staff|Service|Food|Menu|Decor|Price|Taste
28,b-h-psPOmlY0mCOflb3S3rdQ,Chennai Chettinaad Palace,85053,Phoenix,AZ,United States,3.0,Indian,malia kofta|Dosa|vegetarian dish|butter masala|chili paneer|Vegetable Soup|Pav bhaji|chutney|sauce|Kothu Paratha|fish|fish curry|chicken|lamb vindaloo|Mango / Mint Juice|potato|malai cofta|medu wada|schezwan noodles|Chettinad curry|soup|idlis|dinner|porridge|gobi Manchuria|chicken tikka masala|Fish Curry,Staff|Service|Food|Taste|Decor|Food_Quality
29,b-V_jIfMz9Z7a5mthleRq0_w,Nirvana II,28202,Charlotte,NC,United States,3.5,Indian,tikka masala|coconut chicken|Naan|mint chutney|chicken biryani|korma sauce|Chicken Tikka Masala|Chicken biryani|pita bread|Okra|chana masala|fish curry|chicken|Aloo Bhindi|Chai|korma|Karahi Chicken|mango lassi|basmati rice|Chicken Dish|naan|beef|samosa|rice|yogurt chicken|chicken tikka masala,Staff|Service|Food|Menu|Taste|Price|Decor|Food_Quality
30,b-kG0N5urz2lkPEBDPjqFR3w,Maharani Indian Cuisine,28204,Charlotte,NC,United States,3.5,Desserts|Pakistani|Seafood|Food|Indian,Maharani|chickpeas|fish masala|chicken curry|sauce|chana masala|chicken|Mango Lassi|Diet Coke|chicken Tikka masala|Boneless chicken|mango lassi|Sauce|naan|garlic naan|dinner|Tandoori chicken|Garlic Naan|rice|chicken tikka masala,Staff|Service|Music|Food|Menu|Decor|Price
31,b-LwXo16VrGPhhOWc_Wj7ifw,OM Restaurant,89123,Las Vegas,NV,United States,4.0,Indian|Himalayan/Nepalese,Naan|Aloo Gobi|Chicken Tikka Masala|Pulao Rice|kofta|sauce|curry|Tikka masala|Chicken Momos|Lamb Vindaloo|chicken|tandoori|Chai|Lam Vindaloo|Basmati rice|mango lassi|Lamb vindaloo|mango chicken|Sauce|naan|Chicken Biryani|garlic naan|chicken tikka|Hot & Spicy Chicken Wings|Garlic Naan|samosa|rice|cauliflower|vegetarian dishes|lamb,Staff|Customer_Service|Food|Menu|Price
32,b-35KvoWbA3kEsdckaWqG3OA,Masala House Indian Bistro,15224,Pittsburgh,PA,United States,4.5,Indian|Vegetarian|Halal,tikka masala|Shrimp Chettinad|plain|Goat Gong|Goat Pepper Fry|gulab jamun|veg korma|goat|Samosa|biryani|paneer|chai|chili paneer|cauliflower korma|Chicken Tikka Masala|chutney|bread|Chicken masala|Goat|chicken vindaloo|butter naan|Chicken Spinach Dish|chicken|goat vindaloo|Chicken Tikka|Chana Masala|Curry|rabdi|mango lassi|karahi paneer|Saag paneer|lamb curry|naan|Garlic naan|Chicken Biryani|dinner|shrimp|Rabdi|Gobi Manchurian|Shrimp Tikka Masala|Rice|rice|Mango Mastani|spinach dal|buttery naan|crispy|pakora|masala chai,Staff|Service|Food|Menu|Decor|Taste|Parking|Food_Quality
33,b-XvuUYiJYAAiNC4AmdbBZ8g,Tandoori Grill,T3C 1C2,Calgary,AB,Canada,4.0,Ethnic Food|Food|Indian|Specialty Food,butter chicken|Naan|meat chunks|Samosa|goat|vegetable|sauce|bread|curry|Biryani|butter naan|Tandoori Grill|Beef Vindaloo|salad|tomatoe soup|Pakora|Meat Samosa|naan|Palak paneer|vegetables|samosa|cauliflower|rice|lamb|Beef Samosa,Staff|Service|Food|Menu|Price|Delivery
34,b-qMw7mFHAjgG7qN82aXmeZg,Tandoori Style Restaurant,L6T 4L4,Brampton,ON,Canada,4.0,Middle Eastern|Indian|Pakistani,Kebab|Butter chicken|chicken jalfrezi|beef|Naan|Biryani|Chicken Kebab|Chicken Dish|biryani|chicken|naan|Chicken Bones|palak paneer,Service|Food|Menu|Take_Out|Price
35,b-0cf-w9PK5gLkBkitL3bdqw,India Garden,85392,Avondale,AZ,United States,4.0,Buffets|Indian,tikka masala|Naan|tea|meatballs|tandoori chicken|lamb biryani|sauce|bread|Tikka masala|chicken vindaloo|chicken|beer|mango lasi|Mango Lassi Drink|Chai|Tofu Matar Curry|korma|chicken korma|lassis|naan|dinner|aloo gobhi|chicken tiki masala|rice|curry dish|Rice|tandori chicken|Saag Paneer|chicken tikka masala|palak paneer,Staff|Service|Customer_Service|Food|Menu|Taste|Price|Decor
36,b-Dd1w7xR7Xs3bthwusgy33Q,Lotus Deli,85210,Mesa,AZ,United States,4.5,Ethnic Food|Vegan|Vegetarian|Food|Fast Food|Indian|Specialty Food,Pao Bhaji|Vada pav|aloo bonda|chai|Vada Pav|Paav Bhaji|bread|samosa chaat|curry|Dahi Puri|Mango Lassi|Combo Thali|lassi|eggplant|snack|bhaji|Pavbhaji|chickpea|chickpea curry|soup|dal|Chole Bhatura|dessert|chat|chaats|potato curry|roti,Staff|Service|Food|Menu|Taste|Price
37,b-kfwpXBsMQLqhUvscWB6b9g,Indian Taste Restaurant,44087,Twinsburg,OH,United States,4.5,Ethnic Food|Desserts|Vegetarian|Food|Buffets|Indian|Specialty Food|Imported Food,Naan|tea|donuts|Tandoori Chicken|mango lassi|paneer|naan,Service|Customer_Service|Food|Menu|Price
38,b-5VOqWjRXUPc7b1A_NSI9mQ,Spicy Garden,M1S 4N6,Scarborough,ON,Canada,3.5,Indian|Chinese,dinner|garlic chicken|sauce|Chicken Pakora|Chicken|Paneer Chilli|rice|chicken|chili chicken|chilli chicken|paneer|noodles|Chicken Platter|Hakka noodles,Service|Food|Menu|Decor|Price
39,b-hubbaEcYPYEZu5Ziz6i0lw,Mantra Masala,89113,Las Vegas,NV,United States,3.5,Indian|Pakistani,tikka masala|Aloo Paratha|Tandoori Fish|yogurt sauce|Vindaloo|Aloo Tikki|lamb mantra|Mantra Masala|eggplant dish|Chick Tikka Masala|chicken biryani|tikka chicken|dewane handi|chicken bazari|Malai Kofta|Chicken Tikka Masala|Chicken Korma|Mantra Mixed Grill|Chicken Sag|curry|mango lassie|Mixed Grill|pita bread|chicken tandoori|chicken|Spinach Naan|Barah Kebab|spinach|tandoori|Tandoori Char|tamarind sauce|chicken pakora|soup|naan|dinner|Ras Malai|vegetables|Garlic Naan|mix grill|rice|Veggie Basil Curry|chicken tandori|Chicken Tikka Malasa|malai kofta|mango pickle|chicken tikka masala,Staff|Service|Customer_Service|Food|Menu|Decor|Taste|Price
40,b-MgsOZpYSntKSCzNROiWgYQ,Bombay Palace,M5C 2H2,Toronto,ON,Canada,3.0,Pakistani|Caterers|Middle Eastern|Buffets|Indian|Party & Event Planning|Event Planning & Services,butter chicken|pappadams|lentils|mango drink|mango dacquiris|Tandori chicken|tea|masala coffee|tandoori chicken|Dessert|Vegetable Pakora|goat|Samosa|paneer|rice pudding|mango|Butter chicken|sauce|bread|Rasmalai|veg curry|chicken vindaloo|butter naan|chicken|Aloo Chaat|Curry Dish|tandoori|Chana Masala|Pakora|tomato soup|paneer dish|chicken madras|Daal Makhaani|Saag paneer|crispy|beef curry|Mango lassi|Sauce|naan|dinner|Tandoori chicken|dessert|Veg Korma|garlic naan|tandoor|tomato bisque|tomato sauce|chicken korma|chicken tikka masala|Goat Curry,Staff|Service|Customer_Service|Food|Menu|Taste|Price|Food_Quality
41,b-De8Z9rLZOmf-icp3gDxCZA,Anjappar Chettinad Restaurant,M1J 2H1,Scarborough,ON,Canada,3.5,Indian,Soup|Chettinad Cusine|butter chicken|Dosa|paan|tomato chutney|biryani|Payasam|dosa|Biryani|crab curry|Mango|paper dosa|mutton|beer|chicken chettinad|vegetarian Biryani|mutton dish|mango lassi|onion dosa|naan|egg|Tandoori chicken|idli|cauliflower|potato curry|Kothu Parotta|pickle|Masala Dosa,Staff|Service|Food|Menu|Decor|Taste|Price
42,b-0zTLMQOZhiCp9GFtegiFsw,Kohinoor Cuisine of India,85281,Tempe,AZ,United States,4.0,Buffets|Indian,Naan|tea|chickpea dish|mint chutney|goat|coffee|Mango Smoothie|Biryani|chicken|shai paneer|beer|sweets|Mango Lasse|mango lassis|tamarind sauce|eggplant|mango lassi|naan|dinner|chat|samosa|rice|Rice|palak paneer,Staff|Service|Customer_Service|Food|Ambience|Menu|Taste|Price|Food_Quality
43,b-SxuD7iY8QO88PNbSdNmNKg,Thulasi Kitchen,53717,Madison,WI,United States,3.5,Desserts|Seafood|Halal|Food|Indian,butter chicken|Dosa|Paneer burji dosa|butter masala|vada|samosa chat|basmati|coconut drink|biryani|madras coffee|chowpaty|coconut chutney|masala tea|chutney|sauce|bread|dahi vada|mirchi bajji|Chaat dosa|spinach|Chicken Ghee|Tea|Vegetable Biryani|Paneer pieces|garlic naan|dinner|masala dosa|papdi chat|mango icecream|chole batura,Staff|Service|Music|Food|Menu|Decor|Price
44,b-DJuQgsoj-qmU0i5iTAa4aA,Tadka Restaurant,44070,North Olmsted,OH,United States,3.0,Indian,tikka masala|Dosa|Red Curry Chicken|sauce|Kingfish beer|curry|fish curry|chicken|Lamb Saag|vegetable samosa|Palak Paneer|veg manchurian|donut balls|birbali shorba|mango lassi|soup|basmati rice|Sauce|naan|Dinner|garlic naan|Tandoori chicken|dessert|dinner|Chicken Makhani|chicken tiki masala|Garlic Naan|rice|Alu Gobi|lamb|chicken tikka masala|Cake,Staff|Service|Music|Food|Menu|Decor|Taste
45,b-vCx6uieEF0W0mKFK4sT3Yg,Waterfalls Indian Tapas Bar & Grill,M5T,Toronto,ON,Canada,2.5,Indian,beef vindaloo|butter chicken|naan bread|mushroom makini|meat tapas|cheese|chettinad|biryani|Chicken Vindaloo|paneer|mango chutney|pappadums|seafood|chicken dish|chai tea|chicken|beer|lamb vindaloo|salad|wine|tamarind sauce|bhaji|coconut|Pakora|chilli chicken|tapas|naan|Dinner|masala sauce|dinner|calamari|shrimp|beef|papadom|combo platter|rice|appetizer platter|lamb|chicken tikka masala|Sauced Chicken Dish,Staff|Service|Music|Food|Menu|Taste|Price|Wifi
46,b-UAXz2KC1aXpxzV-MLdXbmQ,Delhi Bistro,M4E 1E9,Toronto,ON,Canada,4.0,Indian,butter chicken|Pastry|Garlic NAAN|Pani Poori|Aloo Gobi|Butter Chicken|Baigan Bhartha|onion bhajis|bread|dum biryani|Biryani|madras|Lamb Vindaloo|Pashwari Naan|lamb vindaloo|BUTTER CHICKEN|Dum Parda Biryani|breads|crispy|saag mushroom|naan|Madras|masala sauce|dinner|rice|CURRY|Fish Biryani|prawn puri,Staff|Service|Food|Taste|Price|Delivery
47,b-Pzs43Fkub-6A9hA1zqpF_w,Maharaja Restaurant,53719,Madison,WI,United States,4.0,Indian|Pakistani,tikka masala|Lamb Josh|Naan|cheese pakora|tandoori chicken|Tikka Masala|chicken makhani|vegetable curry|Chicken Tikka Masala|dosa|sauce|chutney|Chicken|curry|Mixed Grill|fish|wine|aloo chole|Paneer|sambar|coconut|Pakora|naan|dinner|Tandoori chicken|Gobi Manchurian|rice|TEA|lamb,Staff|Service|Customer_Service|Food|Menu|Taste|Price|Delivery
48,b-bO_JX-lDo5D5JGZhK5Ly3A,Cafe Krishna,85226,Chandler,AZ,United States,3.0,Desserts|Vegetarian|Food|Indian,Dosa|Dessert|chaat|paneer|masala tea|chutney|dosa|okra curry|samosa chaat|Udupi Masala Dosa|vegetable fritters|sabji|Karahi Bhindi Masala|uthappam|rasam|Gobi|Medu vada|okra|Sauce|kheer|naan|dinner|Chutney|curry vegetables|Chili Bhaji|vegetables|pakoda|Saag Paneer|gobi manchurian|uttapam|Vadas|Masala Dosa,Staff|Service|Food|Ambience|Menu|Price
